has_online_delivery,Desserts,Beverages,Snacks,Fast Food,Bakery,Burgers,Ice Cream,Pizzas,Chinese,North Indian,cuisine_count,votes_log,city_tier_1,city_tier_2,price_bucket_High,price_bucket_Low,price_bucket_Luxury,price_bucket_Medium,restaurant_density_High,restaurant_density_Low,restaurant_density_Medium,rating
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43175772088137865,-0.26087776660853007,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.5
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.9324332356952423,0.14893796375712332,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.6
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068917793932485,1.5129883567603202,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.3
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9324332356952423,-0.3868038346788303,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.7
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43175772088137865,1.0680344718486439,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.3
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43175772088137865,-0.7732249239304875,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0702688235602122,0.18656994256954426,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.4
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5695933087463486,0.4916834757863821,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.5
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9324332356952423,-0.3201306859621681,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.433108750509106,1.2271323446677322,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.2
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43175772088137865,1.4015398005905115,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.9324332356952423,1.0443416798627745,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.3
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.068917793932485,1.0680344718486439,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.068917793932485,0.37785967537725096,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.6
